reso_resource,reso_field,dash_form,dash_label,qobrix_schema,qobrix_path,sir_label,is_extension,value_mapping_json,confidence,notes
Contacts,Birthdate,Person,Birth Date,Contact,birthdate,,false,,high,
Contacts,ContactKey,,,Contact,id,,false,,high,
Contacts,Email,,,Contact,email,E-mail,false,,high,
Contacts,FirstName,Person,First Name,Contact,first_name,Name of the Seller (as per the agreement),false,,medium,
Contacts,HomeCountry,Person,Country,Contact,country,Country of origin/ residence,false,,high,
Contacts,HomePhone,,,Contact,phone_2,,false,,low,
Contacts,Language,,,Contact,preferred_language,,false,,high,
Contacts,LastName,Person,Last Name,Contact,last_name,,false,,high,
Contacts,MobilePhone,,,Contact,phone,Telephone,false,,medium,"Qobrix has phone, phone_2, phone_3 - all unlabelled; CDL maps phone -> MobilePhone by convention."
Contacts,PreferredAddress,Person,Address Line 1,,,,false,,high,
Contacts,x_sm_lead_source,,,,,"Source of contact (personal, introducer, company)",true,,high,Qobrix Contact has no native lead-source field; SIR is the source of record. RESO has Property.LeadSource but Contacts only has Source via different path; promote to extension.
Contacts,x_sm_preferred_communication,,,,,Preferred method of communication,true,,high,
Media,MediaKey,,,MediaResponse,id,,false,,high,
Media,MediaType,,,MediaResponse,file/mime_type,,false,,medium,"Coarse mapping from mime_type prefix to RESO MediaType lookup (image -> Photo, video -> Video, etc.)."
Media,MediaURL,,,MediaResponse,file/href,,false,,medium,MediaResponse.file is a nested MediaFile object; href is the public URL (original_url for the original).
Media,Order,,,MediaResponse,display_order,,false,,high,
Media,ResourceName,,,MediaResponse,related_model,,false,,medium,Qobrix model name (e.g. 'Property') maps directly to the RESO ResourceName lookup value.
Media,ResourceRecordKey,,,MediaResponse,related_id,,false,,high,related_model + related_id form the parent pointer; CDL stores related_id under ResourceRecordKey and uses related_model to set ResourceName.
Member,MemberDesignation,Person,Designations,,,,false,,high,
Member,MemberFirstName,Person,First Name,,,,false,,low,Qobrix Agent has no first_name; resolved via Agent.primary_contact -> Contact.first_name in CDL ingest.
Member,MemberFullName,Person,Printed Name,Agent,name,,false,,high,
Member,MemberKey,,,Agent,id,,false,,high,Qobrix Agent UUID; CDL canonical key.
Member,MemberLanguages,Person,Spoken Languages,,,,false,,high,
Member,MemberLastName,Person,Last Name,,,,false,,low,Resolved via Agent.primary_contact -> Contact.last_name.
Member,MemberLoginId,,,User,username,,false,,high,
Member,MemberMlsId,,,Agent,ref,,false,,high,Human-readable Agent reference.
Member,MemberStatus,,,Agent,status,,false,,medium,Combine status + trashed null.
Member,MemberType,,,Agent,agent_type,,false,,low,Qobrix agent_type is 'agency'/'individual_agent'; RESO MemberType lookup is REALTOR-bureau-specific (REALTOR Salesperson/Broker/etc.) and doesn't fit Cyprus brokerage model. Default to MLS Only Salesperson on import; no value mapping enforced.
Member,OfficeKey,,,Agent,agency,,false,,high,Qobrix folds office identity into the Agent's agency field.
Office,OfficeKey,Residential_Sale,Listing Office,,,,false,,high,Qobrix has no Branch schema; CDL keys this from Property.office or Agent.agency.
Office,OfficeName,Residential_Sale,Listing Office,,,,false,,medium,
Property,Appliances,,,Property,appliances,Appliances-white goods (yes/no),false,,medium,
Property,AssociationAmenities,,,Property,association_amenities,"Amenities if in a complex (gym, sauna, playground etc)",false,,medium,
Property,BathroomsFull,Residential_Sale,No. of Full Baths,Property,bathrooms,,false,,high,
Property,BathroomsHalf,Residential_Sale,No. of Half Baths,,,,false,,high,
Property,BedroomsTotal,Residential_Sale,No. of Bedrooms,Property,bedrooms,,false,,high,
Property,BuildingAreaTotal,Residential_Sale,Building Area,Property,covered_area_amount,Covered area (sq.m.) internal area + covered verandas,false,,medium,RESO BuildingAreaTotal can be gross or covered; clarify in CDL ingest.
Property,City,Residential_Sale,City,Property,city,,false,,high,
Property,Cooling,,,Property,air_condition,,false,,medium,"Qobrix is boolean; Cooling is enum-list. Map true -> ['Central Air'], false -> []."
Property,Country,Residential_Sale,Country,Property,country,,false,,high,
Property,CoveredSpaces,,,Property,covered_parking,,false,,medium,
Property,DevelopmentStatus,,,Property,construction_stage,,false,,medium,
Property,ExpirationDate,Residential_Sale,Expiration Date,,,,false,,high,
Property,Furnished,,,Property,furnished,,false,"{""Furnished"": ""Furnished"", ""Optionally_furnished"": ""Negotiable"", ""Semi_furnished"": ""Partially"", ""Unfurnished"": ""Unfurnished""}",high,
Property,Heating,,,Property,heating_type,,false,"{""Autonomous_heating_system"": ""Central"", ""Central_heating"": ""Central"", ""Electric_heating"": ""Electric""}",medium,
Property,ListAgentKey,,,Property,agent,,false,,high,
Property,ListAgentMlsId,,,Property,agent,,false,,medium,Qobrix stores Agent UUID; CDL projects to MlsId via Member resolution.
Property,ListOfficeKey,,,,,,false,,low,Qobrix has no Branch schema and no office field on Property; CDL derives this via Agent.agency.
Property,ListPrice,Residential_Sale,List Price,Property,list_selling_price_amount,Price €,false,,high,Multi-currency in source; CDL stores numeric with separate currency.
Property,ListingContractDate,Residential_Sale,Anticipated List Date (for Prelisting)/List Date,Property,created,,false,,high,
Property,ListingId,,,Property,original_ref,,false,,high,Human-readable / legacy reference number.
Property,ListingKey,,,Property,id,,false,,high,Qobrix UUID is canonical primary key in CDL.
Property,LivingArea,,,Property,internal_area_amount,Internal area (sq.m.),false,,high,
Property,LotSizeArea,Residential_Sale,Lot Size,Property,plot_area_amount,Plot area (sq.m.),false,,high,
Property,NewConstructionYN,,,Property,new_build,,false,,medium,Approximate; RESO definition is stricter (newly constructed and never occupied).
Property,ParkingTotal,Residential_Sale,# of Parking Places,Property,parking,,false,,high,
Property,PoolFeatures,,,Property,common_swimming_pool,,false,"{""true"": ""Community""}",medium,Boolean flag becomes 'Community' lookup value.
Property,PoolPrivateYN,,,Property,private_swimming_pool,,false,,high,
Property,PostalCode,Residential_Sale,Zip/Postal Code,Property,post_code,,false,,high,
Property,PreviousListPrice,,,Property,previous_list_selling_price,,false,,medium,
Property,PrivateRemarks,,,,,Notice,false,,medium,
Property,PropertySubType,,,Property,property_subtype,,false,"{""Apartment (standart)"": ""Apartment"", ""Bungalow"": ""Single Family Residence"", ""Detached_house"": ""Single Family Residence"", ""Mansion Villa"": ""Single Family Residence"", ""Townhouse"": ""Townhouse""}",medium,Qobrix subtypes are project-local; partial map to RESO closed list. Studio/Penthouse/etc. lack a RESO PropertySubType slot - covered by x_sm_property_subtype extension instead.
Property,PropertyType,Residential_Sale,,Property,property_type,,false,,medium,Dash form selection encodes type (Residential vs Commercial); Qobrix has explicit field.
Property,PublicRemarks,,,Property,description,,false,,high,
Property,StandardStatus,,,Property,status,,false,"{""available"": ""Active"", ""expired"": ""Expired"", ""rented"": ""Closed"", ""reserved"": ""Pending"", ""sold"": ""Closed"", ""withdrawn"": ""Withdrawn""}",medium,Status semantics differ; lookup gate validates RESO targets.
Property,StateOrProvince,Residential_Sale,State/Province,Property,state,,false,,high,
Property,Stories,Residential_Sale,Number of Floors/Levels,Property,storeys_max_floor,,false,,high,
Property,StoriesTotal,,,Property,floors_building,Number of floors in the building,false,,high,
Property,StreetName,Residential_Sale,Address Line 1,,,,false,,high,
Property,TaxAnnualAmount,Residential_Sale,Annual Tax Amount,,,,false,,high,
Property,TaxYear,Residential_Sale,Tax Year,,,,false,,high,
Property,UnitNumber,,,Property,unit_number,,false,,high,
Property,View,,,Property,view,,false,"{""City view"": ""City"", ""Garden view"": ""Garden"", ""Mountain view"": ""Mountain(s)"", ""Pool view"": ""Pool"", ""Sea view"": ""Ocean""}",medium,
Property,WaterfrontFeatures,,,Property,beach_front,,false,,medium,Boolean true -> ['Beach Front'].
Property,YearBuilt,Residential_Sale,Year Built,Property,construction_year,,false,,high,
Property,Zoning,Residential_Sale,Zoning,,,,false,,high,
Property,x_sm_business_transfer_yn,,,Property,business_transfer_or_sale,,true,,high,Commercial concept (going-concern transfer) absent from RESO Property.
Property,x_sm_commission_pct,,,Property,custom_commission,Commissions %,true,,medium,RESO Property has no native commission %% field (DualOrVariableRateCommissionYN exists but is boolean only).
Property,x_sm_crypto_payment_yn,,,,,Crypto payment is possible (yes/no),true,,high,
Property,x_sm_distance_to_beach,,,,,"Distance to the beach (m, km)/requested by owner",true,,high,Marketing-significant in coastal markets.
Property,x_sm_documents_with_title_deed,,,,,Documents List for Properties with Title Deed,true,,medium,
Property,x_sm_documents_without_title_deed,,,,,Documents List for Properties without Title Deed,true,,medium,
Property,x_sm_excluded_marketing_yn,,,,,"Excluded from Marketing resources (portals, promotion)",true,,high,
Property,x_sm_exclusivity_yn,,,Property,custom_exclusive_listing,Exclusivity (yes/no),true,,high,RESO ListAgreement has ListAgreement.Exclusivity but Property doesn't; promote to extension on Property.
Property,x_sm_google_maps_point,,,,,Google maps point (or link),true,,high,Captured separately from Latitude/Longitude when source is a paste-link rather than coords.
Property,x_sm_keyholder_contact,,,,,Telephone/email of keyholder,true,,medium,
Property,x_sm_keys_in_office_yn,,,,,Keys in the office (yes/no),true,,high,
Property,x_sm_seller_bank_preference,,,,,Seller's Banks of prefference,true,,medium,
Property,x_sm_title_deed_available_yn,,,,,Title deeds availability (yes/no),true,,high,CY/EU-specific concept absent from RESO; not in Qobrix either - SIR is the source of record.
Teams,TeamDescription,,,Group,description,,false,,high,
Teams,TeamEmail,Team,Email,,,,false,,high,
Teams,TeamKey,,,Group,id,,false,,high,
Teams,TeamName,Team,Team Name,Group,name,,false,,high,
Teams,TeamOfficePhone,Team,Phone,,,,false,,high,
Teams,TeamStatus,,,Group,trashed,,false,,medium,trashed=null implies Active.
Teams,x_sm_team_type,Team,Team Type,,,,true,,high,RESO Teams resource has no canonical TeamType field.
