schema,property_path,type,format,ref,items_type,required_yn,nullable_yn,description,enum_values_json
Agent,agency,string,uuid,,,no,yes,,
Agent,agent_type,string,,,,yes,no,,"[""agency"", ""individual_agent""]"
Agent,agreement_date,string,date,,,no,yes,,
Agent,commission_1,number,float,,,no,yes,,
Agent,commission_2,number,float,,,no,yes,,
Agent,commission_3,number,float,,,no,yes,,
Agent,created,string,date-time,,,no,yes,,
Agent,created_by,string,uuid,,,no,yes,,
Agent,description,string,,,,no,yes,,
Agent,id,string,uuid,,,no,no,,
Agent,legacy_id,string,,,,no,yes,,
Agent,modified,string,date-time,,,no,yes,,
Agent,modified_by,string,uuid,,,no,yes,,
Agent,name,string,,,,no,yes,,
Agent,owner,string,uuid,,,no,yes,,
Agent,primary_contact,string,uuid,,,yes,no,,
Agent,ref,integer,int32,,,no,no,,
Agent,status,string,,,,no,yes,,"[""with_agency_agreement"", ""without_agency_agreement""]"
Agent,sub_agent_of,string,uuid,,,no,yes,,
Agent,trashed,string,date-time,,,no,yes,,
Contact,assigned_to,string,uuid,,,no,yes,,
Contact,birthdate,string,date,,,no,yes,,
Contact,city,string,,,,no,yes,,
Contact,consent_token,string,,,,no,yes,,
Contact,contact_id,string,uuid,,,no,yes,,
Contact,country,string,,,,no,yes,,"[""AD"", ""AE"", ""AF"", ""AG"", ""AI"", ""AL"", ""AM"", ""AO"", ""AQ"", ""AR"", ""AS"", ""AT"", ""AU"", ""AW"", ""AX"", ""AZ"", ""BA"", ""BB"", ""BD"", ""BE"", ""BF"", ""BG"", ""BH"", ""BI"", ""BJ"", ""BL"", ""BM"", ""BN"", ""BO"", ""BQ"", ""BR"", ""BS"", ""BT"", ""BV"", ""BW"", ""BY"", ""BZ"", ""CA"", ""CC"", ""CD"", ""CF"", ""CG"", ""CH"", ""CI"", ""CK"", ""CL"", ""CM"", ""CN"", ""CO"", ""CR"", ""CU"", ""CV"", ""CW"", ""CX"", ""CY"", ""CZ"", ""DE"", ""DJ"", ""DK"", ""DM"", ""DO"", ""DZ"", ""EC"", ""EE"", ""EG"", ""EH"", ""ER"", ""ES"", ""ET"", ""FI"", ""FJ"", ""FK"", ""FM"", ""FO"", ""FR"", ""GA"", ""GB"", ""GD"", ""GE"", ""GF"", ""GG"", ""GH"", ""GI"", ""GL"", ""GM"", ""GN"", ""GP"", ""GQ"", ""GR"", ""GS"", ""GT"", ""GU"", ""GW"", ""GY"", ""HK"", ""HM"", ""HN"", ""HR"", ""HT"", ""HU"", ""ID"", ""IE"", ""IL"", ""IM"", ""IN"", ""IO"", ""IQ"", ""IR"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""JP"", ""KE"", ""KG"", ""KH"", ""KI"", ""KM"", ""KN"", ""KP"", ""KR"", ""KW"", ""KY"", ""KZ"", ""LA"", ""LB"", ""LC"", ""LI"", ""LK"", ""LR"", ""LS"", ""LT"", ""LU"", ""LV"", ""LY"", ""MA"", ""MC"", ""MD"", ""ME"", ""MF"", ""MG"", ""MH"", ""MK"", ""ML"", ""MM"", ""MN"", ""MO"", ""MP"", ""MQ"", ""MR"", ""MS"", ""MT"", ""MU"", ""MV"", ""MW"", ""MX"", ""MY"", ""MZ"", ""NA"", ""NC"", ""NE"", ""NF"", ""NG"", ""NI"", ""NL"", ""NO"", ""NP"", ""NR"", ""NU"", ""NZ"", ""OM"", ""PA"", ""PE"", ""PF"", ""PG"", ""PH"", ""PK"", ""PL"", ""PM"", ""PN"", ""PR"", ""PS"", ""PT"", ""PW"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SA"", ""SB"", ""SC"", ""SD"", ""SE"", ""SG"", ""SH"", ""SI"", ""SJ"", ""SK"", ""SL"", ""SM"", ""SN"", ""SO"", ""SR"", ""SS"", ""ST"", ""SV"", ""SX"", ""SY"", ""SZ"", ""TC"", ""TD"", ""TF"", ""TG"", ""TH"", ""TJ"", ""TK"", ""TL"", ""TM"", ""TN"", ""TO"", ""TR"", ""TT"", ""TV"", ""TW"", ""TZ"", ""UA"", ""UG"", ""UM"", ""US"", ""UY"", ""UZ"", ""VA"", ""VC"", ""VE"", ""VG"", ""VI"", ""VN"", ""VU"", ""WF"", ""WS"", ""YE"", ""YT"", ""ZA"", ""ZM"", ""ZW""]"
Contact,created,string,date-time,,,no,yes,,
Contact,created_by,string,uuid,,,no,yes,,
Contact,custom_contact_person_first_name,string,,,,no,yes,,
Contact,custom_contact_person_last_name,string,,,,no,yes,,
Contact,custom_mailchimp_subscriber_status,string,,,,no,yes,,"[""cleaned"", ""pending"", ""subscribed"", ""transactional"", ""unsubscribed""]"
Contact,custom_works_for,string,uuid,,,no,yes,,
Contact,description,string,,,,no,yes,,
Contact,email,string,email,,,no,yes,,
Contact,email_2,string,email,,,no,yes,,
Contact,email_consent,boolean,,,,no,yes,,
Contact,first_name,string,,,,no,yes,,
Contact,group_id,string,uuid,,,no,yes,,
Contact,id,string,uuid,,,no,no,,
Contact,is_company,boolean,,,,no,no,,
Contact,last_name,string,,,,no,yes,,
Contact,legacy_id,string,,,,no,yes,,
Contact,marketing_consent,boolean,,,,no,yes,,
Contact,modified,string,date-time,,,no,yes,,
Contact,modified_by,string,uuid,,,no,yes,,
Contact,name,string,,,,no,yes,,
Contact,nationality,string,,,,no,yes,,"[""AD"", ""AE"", ""AF"", ""AG"", ""AI"", ""AL"", ""AM"", ""AO"", ""AQ"", ""AR"", ""AS"", ""AT"", ""AU"", ""AW"", ""AX"", ""AZ"", ""BA"", ""BB"", ""BD"", ""BE"", ""BF"", ""BG"", ""BH"", ""BI"", ""BJ"", ""BL"", ""BM"", ""BN"", ""BO"", ""BQ"", ""BR"", ""BS"", ""BT"", ""BV"", ""BW"", ""BY"", ""BZ"", ""CA"", ""CC"", ""CD"", ""CF"", ""CG"", ""CH"", ""CI"", ""CK"", ""CL"", ""CM"", ""CN"", ""CO"", ""CR"", ""CU"", ""CV"", ""CW"", ""CX"", ""CY"", ""CZ"", ""DE"", ""DJ"", ""DK"", ""DM"", ""DO"", ""DZ"", ""EC"", ""EE"", ""EG"", ""EH"", ""ER"", ""ES"", ""ET"", ""FI"", ""FJ"", ""FK"", ""FM"", ""FO"", ""FR"", ""GA"", ""GB"", ""GD"", ""GE"", ""GF"", ""GG"", ""GH"", ""GI"", ""GL"", ""GM"", ""GN"", ""GP"", ""GQ"", ""GR"", ""GS"", ""GT"", ""GU"", ""GW"", ""GY"", ""HK"", ""HM"", ""HN"", ""HR"", ""HT"", ""HU"", ""ID"", ""IE"", ""IL"", ""IM"", ""IN"", ""IO"", ""IQ"", ""IR"", ""IS"", ""IT"", ""JE"", ""JM"", ""JO"", ""JP"", ""KE"", ""KG"", ""KH"", ""KI"", ""KM"", ""KN"", ""KP"", ""KR"", ""KW"", ""KY"", ""KZ"", ""LA"", ""LB"", ""LC"", ""LI"", ""LK"", ""LR"", ""LS"", ""LT"", ""LU"", ""LV"", ""LY"", ""MA"", ""MC"", ""MD"", ""ME"", ""MF"", ""MG"", ""MH"", ""MK"", ""ML"", ""MM"", ""MN"", ""MO"", ""MP"", ""MQ"", ""MR"", ""MS"", ""MT"", ""MU"", ""MV"", ""MW"", ""MX"", ""MY"", ""MZ"", ""NA"", ""NC"", ""NE"", ""NF"", ""NG"", ""NI"", ""NL"", ""NO"", ""NP"", ""NR"", ""NU"", ""NZ"", ""OM"", ""PA"", ""PE"", ""PF"", ""PG"", ""PH"", ""PK"", ""PL"", ""PM"", ""PN"", ""PR"", ""PS"", ""PT"", ""PW"", ""PY"", ""QA"", ""RE"", ""RO"", ""RS"", ""RU"", ""RW"", ""SA"", ""SB"", ""SC"", ""SD"", ""SE"", ""SG"", ""SH"", ""SI"", ""SJ"", ""SK"", ""SL"", ""SM"", ""SN"", ""SO"", ""SR"", ""SS"", ""ST"", ""SV"", ""SX"", ""SY"", ""SZ"", ""TC"", ""TD"", ""TF"", ""TG"", ""TH"", ""TJ"", ""TK"", ""TL"", ""TM"", ""TN"", ""TO"", ""TR"", ""TT"", ""TV"", ""TW"", ""TZ"", ""UA"", ""UG"", ""UM"", ""US"", ""UY"", ""UZ"", ""VA"", ""VC"", ""VE"", ""VG"", ""VI"", ""VN"", ""VU"", ""WF"", ""WS"", ""YE"", ""YT"", ""ZA"", ""ZM"", ""ZW""]"
Contact,personal_data_cleared,string,date-time,,,no,yes,,
Contact,phone,string,phone,,,no,yes,,
Contact,phone_2,string,phone,,,no,yes,,
Contact,phone_3,string,phone,,,no,yes,,
Contact,phone_consent,boolean,,,,no,yes,,
Contact,post_code,string,,,,no,yes,,
Contact,postal_consent,boolean,,,,no,yes,,
Contact,preferred_contact_method,string,,,,no,yes,,"[""Viber"", ""email"", ""phone"", ""sms"", ""whatsapp""]"
Contact,preferred_language,string,,,,no,yes,,
Contact,ref,integer,int32,,,no,no,,
Contact,registration_number,string,,,,no,yes,,
Contact,role,string,,,,no,yes,,
Contact,sms_consent,boolean,,,,no,yes,,
Contact,state,string,,,,no,yes,,
Contact,street,string,,,,no,yes,,
Contact,title,string,,,,no,yes,,"[""dr"", ""lady"", ""lord"", ""miss"", ""mr"", ""mr_mrs"", ""mrs"", ""ms"", ""prof"", ""rev"", ""sir"", ""withheld""]"
Contact,trashed,string,date-time,,,no,yes,,
Contact,vat_number,string,,,,no,yes,,
Contact,website,string,url,,,no,yes,,
Group,created,string,date-time,,,no,no,,
Group,created_by,string,uuid,,,no,yes,,
Group,deny_delete,boolean,,,,no,no,,
Group,deny_edit,boolean,,,,no,no,,
Group,description,string,,,,yes,no,,
Group,id,string,uuid,,,no,no,,
Group,modified,string,date-time,,,no,no,,
Group,modified_by,string,uuid,,,no,yes,,
Group,name,string,,,,yes,no,,
Group,remote_group_id,string,,,,no,yes,,
Group,trashed,string,date-time,,,no,yes,,
Media,category_id,string,uuid,,,yes,no,,
Media,created,string,date-time,,,no,no,,
Media,display_order,integer,int32,,,no,no,,
Media,id,string,uuid,,,no,no,,
Media,media_type,string,,,,yes,no,,
Media,modified,string,date-time,,,no,no,,
Media,reference_id,string,,,,yes,no,,
Media,related_id,string,uuid,,,no,yes,,
Media,related_model,string,,,,no,yes,,
Media,user_id,string,uuid,,,no,yes,,
MediaFile,created,string,date-time,,,no,no,,
MediaFile,filename,string,,,,yes,no,,
MediaFile,filesize,integer,int32,,,no,yes,,
MediaFile,filesystem,string,,,,no,no,,
MediaFile,href,string,uri,,,no,yes,,
MediaFile,id,string,uuid,,,no,no,,
MediaFile,mime_type,string,,,,no,yes,,
MediaFile,modified,string,date-time,,,no,no,,
MediaFile,original_filename,string,,,,no,yes,,
MediaFile,original_url,string,,,,no,yes,,
MediaFile,thumbnails,string,,,,no,no,,
MediaRequest,category_id,string,uuid,,,yes,no,The media file category ID this file belongs to,
MediaRequest,display_order,integer,,,,no,no,Used for ordering when retrieving media,
MediaRequest,file,,,,,no,no,Upload file object.,
MediaRequest,media_type,string,,,,yes,no,The type of the media,"[""matterport"", ""upload"", ""youtube""]"
MediaRequest,reference_id,string,,,,no,no,External ID of the media.,
MediaRequest,related_id,string,uuid,,,no,no,Used with related_model to point to the record this media belongs to,
MediaRequest,related_model,string,,,,no,no,Used with related_id to point to the record this media belongs to,
MediaResponse,category,object,,MediaCategory,,no,no,,
MediaResponse,category/created,string,date-time,,,no,no,,
MediaResponse,category/created_by,string,uuid,,,no,yes,,
MediaResponse,category/dist,boolean,,,,no,no,,
MediaResponse,category/id,string,uuid,,,no,no,,
MediaResponse,category/label,string,,,,yes,no,,
MediaResponse,category/media_types,array,,,string,no,yes,,
MediaResponse,category/mime_types,array,,,string,no,yes,,
MediaResponse,category/modified,string,date-time,,,no,no,,
MediaResponse,category/modified_by,string,uuid,,,no,yes,,
MediaResponse,category/name,string,,,,yes,no,,
MediaResponse,category/public,boolean,,,,no,no,,
MediaResponse,category/related_model,string,,,,no,yes,,
MediaResponse,category/signature_required,boolean,,,,no,no,,
MediaResponse,category/trashed,string,date-time,,,no,yes,,
MediaResponse,category/watermark,boolean,,,,no,no,,
MediaResponse,category_id,string,uuid,,,yes,no,Media category ID,
MediaResponse,created,string,date-time,,,yes,no,Created date,
MediaResponse,display_order,integer,,,,yes,no,Used for ordering when retrieving media,
MediaResponse,file,object,,MediaFile,,no,no,,
MediaResponse,file/created,string,date-time,,,no,no,,
MediaResponse,file/filename,string,,,,yes,no,,
MediaResponse,file/filesize,integer,int32,,,no,yes,,
MediaResponse,file/filesystem,string,,,,no,no,,
MediaResponse,file/href,string,uri,,,no,yes,,
MediaResponse,file/id,string,uuid,,,no,no,,
MediaResponse,file/mime_type,string,,,,no,yes,,
MediaResponse,file/modified,string,date-time,,,no,no,,
MediaResponse,file/original_filename,string,,,,no,yes,,
MediaResponse,file/original_url,string,,,,no,yes,,
MediaResponse,file/thumbnails,string,,,,no,no,,
MediaResponse,id,string,uuid,,,yes,no,The unique id of the media object,
MediaResponse,media_type,string,,,,yes,no,Enum telling what type this media is (e.,"[""matterport"", ""upload"", ""youtube""]"
MediaResponse,modified,string,date-time,,,yes,no,Modified date,
MediaResponse,reference_id,string,,,,yes,no,External id of the media.,
MediaResponse,related_id,string,uuid,,,no,no,Used with related_model to point to the record this media belongs to,
MediaResponse,related_model,string,,,,no,no,Used with related_id to point to the record this media belongs to,
Property,abuts_green_area,boolean,,,,no,yes,,
Property,additional_features,array,,,string,no,no,,
Property,agent,string,uuid,,,no,yes,,
Property,air_condition,boolean,,,,no,yes,,
Property,alarm,boolean,,,,no,yes,,
Property,apartment_type,string,,,,no,yes,,
Property,appliances,array,,,string,no,no,,
Property,association_amenities,array,,,string,no,no,,
Property,auction_end_date,string,date-time,,,no,yes,,
Property,auction_start_date,string,date-time,,,no,yes,,
Property,bathrooms,integer,int32,,,no,yes,,
Property,beach_front,boolean,,,,no,yes,,
Property,bedrooms,integer,int32,,,no,yes,,
Property,building_density,number,float,,,no,yes,,
Property,building_type,string,,,,no,yes,,
Property,business_transfer_commercial_activity,string,,,,no,yes,,"[""aesthetic_and_beauty"", ""agricultural_company"", ""agritourism"", ""bakery"", ""bar"", ""beach_bar"", ""bed_and_breakfast"", ""butcher_shop"", ""clinic"", ""clothing_store"", ""cocktail_bar"", ""coffee_shop"", ""cosmetics_store"", ""dealership"", ""dental_practice"", ""educational_center"", ""electronics_and_computer_store"", ""fitness_center"", ""florist"", ""fruit_shop"", ""grocery_store"", ""gym"", ""hair_salon"", ""hardware_store"", ""herbalist_shop"", ""hotel"", ""housewares_store"", ""ice_cream_shop"", ""laboratory"", ""newsstand"", ""nightclub"", ""other_commercial_activities"", ""other_types_of_accomodations"", ""other_types_of_caterings"", ""other_types_of_food_retails"", ""other_types_of_food_shops"", ""other_types_of_services"", ""pastry_shop"", ""pharmacy"", ""physiotherapy_clinic"", ""pizzeria"", ""pub"", ""real_estate_agency"", ""repair_shop"", ""restaurant"", ""rotisserie"", ""sandwich_bar"", ""spa"", ""stationery"", ""storehouse"", ""supermarket"", ""take_away"", ""tobacco_shop"", ""veterinary_clinic"", ""wine_shop""]"
Property,business_transfer_or_sale,boolean,,,,no,yes,,
Property,business_transfer_price,number,float,,,no,yes,,
Property,cadastral_reference,string,,,,no,yes,,
Property,campaign_id,string,uuid,,,no,yes,,
Property,city,string,,,,no,yes,,
Property,cloned_from,string,uuid,,,no,yes,,
Property,common_swimming_pool,boolean,,,,no,yes,,
Property,community_features,array,,,string,no,no,,
Property,concierge_reception,boolean,,,,no,yes,,
Property,conference,boolean,,,,no,yes,,
Property,construction_stage,string,,,,no,yes,,"[""completed"", ""construction_phase"", ""offplans"", ""resale"", ""unfinished""]"
Property,construction_type,string,,,,no,yes,,"[""concrete"", ""metal"", ""prefabricated""]"
Property,construction_year,integer,int32,,,no,yes,,
Property,cooling,array,,,string,no,no,,
Property,cooling_type,string,,,,no,yes,,"[""autonomous_cooling_system"", ""central_cooling""]"
Property,coordinates,string,coordinates,,,no,yes,Enter your GPS coordinates here for latitude and longitude such as 51.,
Property,corner_plot,boolean,,,,no,yes,,
